Positive_ID,ID,Legante,Famiglia_Legante,Metallo,Sale_Metallico,Solvente,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Volume solvente,Hydration_Number,Counterion_Class,Oxidation_State,Procedura_Sintetica,Esito_ML,Positive_Library_Source,Data_Quality_Flag,Split_Set
POS-0114,513,"2,6-Naphthalenedicarboxylic acid",Non specificata,Hf,HfCl4,DMF/Acetic acid,Acido acetico,120,24.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0115,514,Fumaric acid,Non specificata,Zr,ZrOCl2·8H2O,H2O/Formic acid,Acido formico,100,24.0,2.0,2.0,1.0,,,,,Hydrothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0116,515,Fumaric acid,Non specificata,Hf,HfCl4,DMF/Formic acid,Acido formico,120,24.0,2.0,2.0,1.0,,,,,Solvothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0117,516,5-Aminoisophthalic acid,Non specificata,Zr,ZrOCl2·8H2O,DMF/Formic acid,Acido formico,100,24.0,0.5,1.0,0.5,,,,,Solvothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0118,518,"Pyrazole-3,5-dicarboxylic acid",Non specificata,Hf,HfCl4,DMF/Formic acid,Acido formico,120,24.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0119,519,"1,3,6,8-tetrakis(p-benzoic acid)pyrene",Non specificata,Hf,HfCl4,DMF/TFA,TFA,120,18.0,0.06,0.3,0.2,,,,,Solvothermal,2,development_positive,temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0120,520,"1,3,6,8-tetrakis(p-benzoic acid)pyrene",Non specificata,Zr,ZrOCl2·8H2O,DMF/Benzoic acid,Acido benzoico,120,18.0,0.05,0.25,0.2,,,,,Solvothermal,2,development_positive,additive_canonicalized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0121,521,2-Methylimidazole,Non specificata,Co,Co(NO3)2·6H2O,H2O/MeOH,Acido formico,150,12.0,4.0,2.5,1.6,,,,,Precipitation,2,development_positive,additive_canonicalized;numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0122,522,Benzimidazole,Non specificata,Co,Co(OAc)2·4H2O,MeCN,Acido benzoico,25,48.0,2.0,2.5,0.8,,,,,Room Temperature,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0123,524,"2,5-Dihydroxyterephthalic acid (H4DOBDC)",Non specificata,Ni,Ni(OAc)2·4H2O,DEF,Trietilammina (TEA),100,48.0,1.0,5.0,0.2,,,,,Sonochemical,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0124,525,"4,4'-Biphenyldicarboxylic acid (H2BPDC)",Non specificata,Fe,FeCl3·6H2O,MeOH,Trietilammina (TEA),120,4.0,1.5,5.0,0.3,,,,,Solvothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0125,526,"2,6-Naphthalenedicarboxylic acid (2,6-NDC)",Non specificata,Fe,Fe(NO3)3·9H2O,EtOH,HNO3,130,4.0,1.5,5.0,0.3,,,,,Hydrothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0126,527,Fumaric acid,Non specificata,Al,Al(NO3)3·9H2O,H2O,Nessuno,60,24.0,1.5,2.5,0.6,,,,,Precipitation,2,development_positive,temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0127,528,Isophthalic acid,Non specificata,Al,AlCl3·6H2O,DMF/H2O/EtOH,Acido benzoico,25,2.0,1.0,1.5,0.6667,,,,,Room Temperature,2,development_positive,additive_canonicalized;numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0128,529,5-Nitroisophthalic acid,Non specificata,Zr,ZrCl4,DMF/H2O,Acido formico,85,36.0,0.25,2.0,0.125,,,,,Microwave,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0129,530,5-Aminoisophthalic acid,Non specificata,Zr,ZrOCl2·8H2O,DMA,Nessuno,120,6.0,2.0,4.0,0.5,,,,,Sonochemical,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0130,531,Imidazole-2-carboxaldehyde,Non specificata,Mg,Mg(NO3)2·6H2O,H2O/THF,HCl,150,4.0,0.25,2.0,0.125,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0131,532,"4,4',4''-Triaminotriphenylamine",Non specificata,Mn,Mn(OAc)2·4H2O,H2O/MeOH,Acido acetico,80,72.0,2.0,1.0,2.0,,,,,Hydrothermal,2,development_positive,additive_canonicalized;numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0132,534,"Pyrazine-2,3-dicarboxylic acid",Non specificata,Zn,Zn(OAc)2·2H2O,DMF,HCl,25,6.0,0.25,3.0,0.0833,,,,,Room Temperature,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0133,535,"4,4'-Bipyridine",Non specificata,Cu,Cu(NO3)2·2.5H2O,DEF,Trietilammina (TEA),80,48.0,0.5,2.0,0.25,,,,,Microwave,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0134,536,"1,2,4-Triazole",Non specificata,Cu,Cu(OAc)2·H2O,MeOH,Trietilammina (TEA),130,24.0,1.5,1.0,1.5,,,,,Sonochemical,2,development_positive,additive_canonicalized;numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0135,537,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Co,Co(NO3)2·6H2O,EtOH,HCl,80,4.0,3.0,1.0,3.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
